comarca	num_incendis
Alt Camp	82
Alt Empordà	279
Alt Penedès	245
Alt Urgell	68
Alta Ribagorça	31
Anoia	283
Bages	246
Baix Camp	114
Baix Ebre	286
Baix Empordà	225
Baix Llobregat	368
Baix Penedès	99
Barcelonès	102
Berguedà	95
Cerdanya	45
Conca de Barberà	175
Garraf	73
Garrigues	99
Garrotxa	54
Gironès	181
Maresme	189
Montsià	104
Noguera	194
Osona	116
Pallars Jussà	120
Pallars Sobirà	56
Pla d'Urgell	5
Pla de l'Estany	60
Priorat	108
Ribera d'Ebre	131
Ripollès	32
Segarra	63
Segrià	297
Selva	165
Solsonès	60
Tarragonès	125
Terra Alta	100
Urgell	101
Val d'Aran	21
Vallès Occidental	343
Vallès Oriental	268
Moianès	40
